,time,collisions,collision_type,x_joystick,y_joystick
0,0,0,0,0.0,0.0
0,0,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0,0.0
0,1,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0048828125
0,2,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0048828125
0,3,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0048828125
0,4,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0048828125
0,5,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,6,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,7,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,8,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,9,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,10,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,11,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,12,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,13,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,14,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,15,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,16,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,17,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,18,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,19,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,20,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,21,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,22,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,23,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,24,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0029296875
0,25,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0048828125
