,time,collisions,collision_type,x_joystick,y_joystick
0,63,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.053741455078125
0,64,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.096771240234375
0,65,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.1417236328125
0,66,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.176910400390625
0,67,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.21990966796875
0,68,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.270751953125
0,69,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.307891845703125
0,70,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.374359130859375
0,71,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.423248291015625
0,72,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.485809326171875
0,73,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.550323486328125
0,74,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.614837646484375
0,75,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.6422119140625
0,76,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.6500244140625
0,77,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.6539306640625
0,78,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.6539306640625
0,79,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.6519775390625
0,80,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.6519775390625
0,81,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.6519775390625
0,82,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.696929931640625
0,83,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.808380126953125
0,84,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.865081787109375
0,85,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.925689697265625
0,86,1,"{'top': False, 'bottom': True, 'right': False, 'left': False}",0.996063232421875,0.945220947265625
0,87,1,"{'top': False, 'bottom': True, 'right': False, 'left': False}",0.996063232421875,0.923736572265625
0,88,1,"{'top': False, 'bottom': True, 'right': False, 'left': False}",0.996063232421875,0.859222412109375
0,89,1,"{'top': False, 'bottom': True, 'right': False, 'left': False}",0.996063232421875,0.808380126953125
0,90,1,"{'top': False, 'bottom': True, 'right': False, 'left': False}",0.996063232421875,0.71258544921875
0,91,1,"{'top': False, 'bottom': True, 'right': False, 'left': False}",0.996063232421875,0.632415771484375
0,92,1,"{'top': False, 'bottom': True, 'right': False, 'left': False}",0.996063232421875,0.51318359375
0,93,1,"{'top': False, 'bottom': True, 'right': False, 'left': False}",0.996063232421875,0.3939208984375
0,94,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.253143310546875
0,95,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.122161865234375
0,96,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,0.0009765625
0,97,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.04986572265625
0,98,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.0987548828125
0,99,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.16717529296875
0,100,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.196502685546875
0,101,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.223876953125
0,102,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.239501953125
0,103,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.241455078125
0,104,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.241455078125
0,105,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.241455078125
0,106,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.241455078125
0,107,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.241455078125
0,108,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.241455078125
0,109,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.241455078125
0,110,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.241455078125
0,111,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.996063232421875,-0.241455078125
